Country,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Bangladesh,132,Unhealthy for Sensitive Groups,3,Good,44,Good,4,Good,132,Unhealthy for Sensitive Groups
Pakistan,179,Unhealthy,3,Good,179,Unhealthy,2,Good,166,Unhealthy
India,124,Unhealthy for Sensitive Groups,1,Good,36,Good,1,Good,124,Unhealthy for Sensitive Groups
India,202,Very Unhealthy,0,Good,34,Good,0,Good,202,Very Unhealthy
India,151,Unhealthy,1,Good,26,Good,1,Good,151,Unhealthy
Indonesia,92,Moderate,2,Good,45,Good,0,Good,92,Moderate
Brazil,39,Good,1,Good,5,Good,0,Good,39,Good
Russian Federation,48,Good,1,Good,39,Good,1,Good,48,Good
Sudan,52,Moderate,2,Good,17,Good,0,Good,52,Moderate
Colombia,104,Unhealthy for Sensitive Groups,1,Good,16,Good,2,Good,104,Unhealthy for Sensitive Groups
Philippines,51,Moderate,1,Good,27,Good,1,Good,51,Moderate
Iran (Islamic Republic of),91,Moderate,1,Good,49,Good,0,Good,91,Moderate
India,167,Unhealthy,1,Good,32,Good,0,Good,167,Unhealthy
Thailand,38,Good,0,Good,20,Good,0,Good,38,Good
Thailand,57,Moderate,0,Good,25,Good,0,Good,57,Moderate
Netherlands,41,Good,1,Good,27,Good,5,Good,41,Good
United States of America,78,Moderate,1,Good,11,Good,12,Good,78,Moderate
United States of America,47,Good,1,Good,46,Good,2,Good,47,Good
United Kingdom of Great Britain and Northern Ireland,29,Good,0,Good,29,Good,3,Good,18,Good
Serbia,60,Moderate,1,Good,34,Good,1,Good,60,Moderate
Netherlands,37,Good,1,Good,32,Good,3,Good,37,Good
Chile,61,Moderate,2,Good,2,Good,9,Good,61,Moderate
Panama,67,Moderate,2,Good,20,Good,5,Good,67,Moderate
Mexico,46,Good,1,Good,17,Good,2,Good,46,Good
United States of America,79,Moderate,2,Good,13,Good,27,Good,79,Moderate
United States of America,53,Moderate,1,Good,24,Good,9,Good,53,Moderate
Ghana,81,Moderate,1,Good,18,Good,0,Good,81,Moderate
Japan,39,Good,1,Good,38,Good,2,Good,39,Good
Germany,34,Good,1,Good,34,Good,2,Good,27,Good
Republic of North Macedonia,42,Good,1,Good,41,Good,0,Good,42,Good
Japan,41,Good,2,Good,36,Good,5,Good,41,Good
Poland,47,Good,1,Good,36,Good,0,Good,47,Good
Germany,32,Good,1,Good,27,Good,4,Good,32,Good
